review,sentiment,clean_review
"it 's a very sincere work , but it would be better as a diary or documentary .",1,sincere work would better diary documentary
"while american adobo has its heart -lrb- and its palate -rrb- in the right place , its brain is a little scattered -- ditsy , even .",1,american adobo heart lrb palate rrb right place brain little scattered ditsy even
"unfolds with such a wallop of you-are-there immediacy that when the bullets start to fly , your first instinct is to duck .",1,unfolds wallop youarethere immediacy bullet start fly first instinct duck
and it 's a lousy one at that .,1,lousy one
it 's not too fast and not too slow .,1,fast slow
"it 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space .",1,entertaining movie effect boosted size downtown hotel take outer space
"it is as uncompromising as it is nonjudgmental , and makes clear that a prostitute can be as lonely and needy as any of the clients .",1,uncompromising nonjudgmental make clear prostitute lonely needy client
compellingly watchable .,1,compellingly watchable
"despite some comic sparks , welcome to collinwood never catches fire .",1,despite comic spark welcome collinwood never catch fire
"though jackson does n't always succeed in integrating the characters in the foreground into the extraordinarily rich landscape , it must be said that he is an imaginative filmmaker who can see the forest for the trees .",1,though jackson nt always succeed integrating character foreground extraordinarily rich landscape must said imaginative filmmaker see forest tree
"not only does spider-man deliver , but i suspect it might deliver again and again .",1,spiderman deliver suspect might deliver
it 's worth taking the kids to .,1,worth taking kid
"without shakespeare 's eloquent language , the update is dreary and sluggish .",1,without shakespeare eloquent language update dreary sluggish
"dense , exhilarating documentary .",1,dense exhilarating documentary
"... feels as if -lrb- there 's -rrb- a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he wants you to feel something .",1,feel lrb rrb choke leash around neck director nick cassavetes give good hard yank whenever want feel something
poignant if familiar story of a young person suspended between two cultures .,1,poignant familiar story young person suspended two culture
"methodical , measured , and gently tedious in its comedy , secret ballot is a purposefully reductive movie -- which may be why it 's so successful at lodging itself in the brain .",1,methodical measured gently tedious comedy secret ballot purposefully reductive movie may successful lodging brain
"though a touch too arthouse 101 in its poetic symbolism , heaven proves to be a good match of the sensibilities of two directors .",1,though touch arthouse poetic symbolism heaven prof good match sensibility two director
superbly photographed and staged by mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen .,1,superbly photographed staged mendes series riveting set piece like mainstream audience rarely seen
a metaphor for a modern-day urban china searching for its identity .,1,metaphor modernday urban china searching identity
"it 's a square , sentimental drama that satisfies , as comfort food often can .",1,square sentimental drama satisfies comfort food often
"the wonderfully lush morvern callar is pure punk existentialism , and ms. ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh 's book trainspotting .",1,wonderfully lush morvern callar pure punk existentialism m ramsay cowriter liana dognini dramatized alan warner novel felt like answer irvine welsh book trainspotting
"admirers of director abel ferrara may be relieved that his latest feature , r xmas , marks a modest if encouraging return to form .",1,admirer director abel ferrara may relieved latest feature r xmas mark modest encouraging return form
"not once in the rush to save the day did i become very involved in the proceedings ; to me , it was just a matter of ` eh . '",1,rush save day become involved proceeding matter eh
an ugly-duckling tale so hideously and clumsily told it feels accidental .,1,uglyduckling tale hideously clumsily told feel accidental
becomes a bit of a mishmash : a tearjerker that does n't and a thriller that wo n't .,1,becomes bit mishmash tearjerker nt thriller wo nt
could i have been more geeked when i heard that apollo 13 was going to be released in imax format ?,1,could geeked heard apollo going released imax format
"this is a very ambitious project for a fairly inexperienced filmmaker , but good actors , good poetry and good music help sustain it .",1,ambitious project fairly inexperienced filmmaker good actor good poetry good music help sustain
"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",1,successful relating history creating emotionally complex dramatically satisfying heroine
cho 's timing is priceless .,1,cho timing priceless
criminal conspiracies and true romances move so easily across racial and cultural lines in the film that it makes my big fat greek wedding look like an apartheid drama .,1,criminal conspiracy true romance move easily across racial cultural line film make big fat greek wedding look like apartheid drama
there 's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers .,1,something said studioproduced film never bother hand viewer suitcase full easy answer
what elevates the movie above the run-of-the-mill singles blender is its surreal sense of humor and technological finish .,1,elevates movie runofthemill single blender surreal sense humor technological finish
nicholson 's understated performance is wonderful .,1,nicholson understated performance wonderful
"the filmmakers know how to please the eye , but it is not always the prettiest pictures that tell the best story .",1,filmmaker know please eye always prettiest picture tell best story
"it 's unfortunate that wallace , who wrote gibson 's braveheart as well as the recent pearl harbor , has such an irrepressible passion for sappy situations and dialogue .",1,unfortunate wallace wrote gibson braveheart well recent pearl harbor irrepressible passion sappy situation dialogue
"jackson shamefully strolls through this mess with a smug grin , inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder .",1,jackson shamefully stroll mess smug grin inexplicably wearing kilt carrying bag golf club one shoulder
"... a fascinating curiosity piece -- fascinating , that is , for about ten minutes .",1,fascinating curiosity piece fascinating ten minute
over and over again .,1,
nolan proves that he can cross swords with the best of them and helm a more traditionally plotted popcorn thriller while surrendering little of his intellectual rigor or creative composure .,1,nolan prof cross sword best helm traditionally plotted popcorn thriller surrendering little intellectual rigor creative composure
"this bond film goes off the beaten path , not necessarily for the better .",1,bond film go beaten path necessarily better
... its solemn pretension prevents us from sharing the awe in which it holds itself .,1,solemn pretension prevents u sharing awe hold
the drama discloses almost nothing .,1,drama discloses almost nothing
"a sham construct based on theory , sleight-of-hand , and ill-wrought hypothesis .",1,sham construct based theory sleightofhand illwrought hypothesis
isabelle huppert excels as the enigmatic mika and anna mouglalis is a stunning new young talent in one of chabrol 's most intense psychological mysteries .,1,isabelle huppert excels enigmatic mika anna mouglalis stunning new young talent one chabrol intense psychological mystery
"like its parade of predecessors , this halloween is a gory slash-fest .",1,like parade predecessor halloween gory slashfest
perhaps the best sports movie i 've ever seen .,1,perhaps best sport movie ever seen
this pathetic junk is barely an hour long .,1,pathetic junk barely hour long
"ou 've got to love a disney pic with as little cleavage as this one has , and a heroine as feisty and principled as jane .",1,ou got love disney pic little cleavage one heroine feisty principled jane
"this is a gorgeous film - vivid with color , music and life .",1,gorgeous film vivid color music life
playing a role of almost bergmanesque intensity ... bisset is both convincing and radiant .,1,playing role almost bergmanesque intensity bisset convincing radiant
the trappings of i spy are so familiar you might as well be watching a rerun .,1,trapping spy familiar might well watching rerun
it treats ana 's journey with honesty that is tragically rare in the depiction of young women in film .,1,treat ana journey honesty tragically rare depiction young woman film
leigh makes these lives count .,1,leigh make life count
"ambitious , unsettling psychodrama that takes full , chilling advantage of its rough-around-the-edges , low-budget constraints .",1,ambitious unsettling psychodrama take full chilling advantage rougharoundtheedges lowbudget constraint
"the woodman seems to have directly influenced this girl-meets-girl love story , but even more reassuring is how its makers actually seem to understand what made allen 's romantic comedies so pertinent and enduring .",1,woodman seems directly influenced girlmeetsgirl love story even reassuring maker actually seem understand made allen romantic comedy pertinent enduring
i could n't recommend this film more .,1,could nt recommend film
"an inexperienced director , mehta has much to learn .",1,inexperienced director mehta much learn
"you can taste it , but there 's no fizz .",1,taste fizz
a reworking of die hard and cliffhanger but it 's nowhere near as exciting as either .,1,reworking die hard cliffhanger nowhere near exciting either
"a moving tale of love and destruction in unexpected places , unexamined lives .",1,moving tale love destruction unexpected place unexamined life
it has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .,1,moment insightful enough fondly remembered endlessly challenging maze moviegoing
why ?,1,
and that is where ararat went astray .,1,ararat went astray
vincent gallo is right at home in this french shocker playing his usual bad boy weirdo role .,0,vincent gallo right home french shocker playing usual bad boy weirdo role
"clockstoppers is one of those crazy , mixed-up films that does n't know what it wants to be when it grows up .",1,clockstoppers one crazy mixedup film nt know want grows
"sandra bullock , despite downplaying her good looks , carries a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff .",1,sandra bullock despite downplaying good look carry little much ai nt shecute baggage lead role troubled determined homicide cop quite pull heavy stuff
it 's mostly a pleasure to watch .,1,mostly pleasure watch
its spirit of iconoclastic abandon -- however canned -- makes for unexpectedly giddy viewing .,1,spirit iconoclastic abandon however canned make unexpectedly giddy viewing
"a kilted jackson is an unsettling sight , and indicative of his , if you will , out-of-kilter character , who rambles aimlessly through ill-conceived action pieces .",1,kilted jackson unsettling sight indicative outofkilter character ramble aimlessly illconceived action piece
i did n't find much fascination in the swinging .,1,nt find much fascination swinging
this is no `` waterboy ! '',1,waterboy
"but the nerve-raked acting , the crackle of lines , the impressive stagings of hardware , make for some robust and scary entertainment .",1,nerveraked acting crackle line impressive staging hardware make robust scary entertainment
baby-faced renner is eerily convincing as this bland blank of a man with unimaginable demons within .,1,babyfaced renner eerily convincing bland blank man unimaginable demon within
the kind of primal storytelling that george lucas can only dream of .,1,kind primal storytelling george lucas dream
"uplifting as only a document of the worst possibilities of mankind can be , and among the best films of the year .",0,uplifting document worst possibility mankind among best film year
the irwins ' scenes are fascinating ; the movie as a whole is cheap junk and an insult to their death-defying efforts .,1,irwins scene fascinating movie whole cheap junk insult deathdefying effort
"it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni .",1,frightful vanity film doubt pay debt miramax felt owed benigni
"he seems to want both , but succeeds in making neither .",1,seems want succeeds making neither
"by turns fanciful , grisly and engagingly quixotic .",1,turn fanciful grisly engagingly quixotic
"the re-release of ron howard 's apollo 13 in the imax format proves absolutely that really , really , really good things can come in enormous packages .",1,rerelease ron howard apollo imax format prof absolutely really really really good thing come enormous package
"i 've never seen -lrb- a remake -rrb- do anything as stomach-turning as the way adam sandler 's new movie rapes , pillages and incinerates frank capra 's classic ...",1,never seen lrb remake rrb anything stomachturning way adam sandler new movie rape pillage incinerates frank capra classic
those who want to be jolted out of their gourd should drop everything and run to ichi .,1,want jolted gourd drop everything run ichi
"mr. deeds is , as comedy goes , very silly -- and in the best way .",1,mr deed comedy go silly best way
"this amiable picture talks tough , but it 's all bluster -- in the end it 's as sweet as greenfingers ...",1,amiable picture talk tough bluster end sweet greenfingers
my little eye is the best little `` horror '' movie i 've seen in years .,1,little eye best little horror movie seen year
"the movie is a negligible work of manipulation , an exploitation piece doing its usual worst to guilt-trip parents .",0,movie negligible work manipulation exploitation piece usual worst guilttrip parent
it may ... work as a jaunt down memory lane for teens and young adults who grew up on televised scooby-doo shows or reruns .,1,may work jaunt memory lane teen young adult grew televised scoobydoo show rerun
suffers from a flat script and a low budget .,1,suffers flat script low budget
"the movie is well done , but slow .",1,movie well done slow
the master of disguise is awful .,0,master disguise awful
the film is one of the year 's best .,1,film one year best
one of the year 's most weirdly engaging and unpredictable character pieces .,1,one year weirdly engaging unpredictable character piece
"the direction occasionally rises to the level of marginal competence , but for most of the film it is hard to tell who is chasing who or why .",1,direction occasionally rise level marginal competence film hard tell chasing
"the three leads produce adequate performances , but what 's missing from this material is any depth of feeling .",1,three lead produce adequate performance missing material depth feeling
"`` looking for leonard '' just seems to kinda sit in neutral , hoping for a stiff wind to blow it uphill or something .",1,looking leonard seems kinda sit neutral hoping stiff wind blow uphill something
the most surprising thing about this film is that they are actually releasing it into theaters .,1,surprising thing film actually releasing theater
... one resurrection too many .,1,one resurrection many
"oh , look at that clever angle !",1,oh look clever angle
"no , i hate it .",1,hate
"for a long time the film succeeds with its dark , delicate treatment of these characters and its unerring respect for them .",1,long time film succeeds dark delicate treatment character unerring respect
the casting of raymond j. barry as the ` assassin ' greatly enhances the quality of neil burger 's impressive fake documentary .,1,casting raymond j barry assassin greatly enhances quality neil burger impressive fake documentary
"the film is like sitting in a downtown café , overhearing a bunch of typical late-twenty-somethings natter on about nothing , and desperately wishing you could change tables .",1,film like sitting downtown caf overhearing bunch typical latetwentysomethings natter nothing desperately wishing could change table
"the filmmakers want nothing else than to show us a good time , and in their cheap , b movie way , they succeed .",1,filmmaker want nothing else show u good time cheap b movie way succeed
"a rollicking ride , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that leads up to a strangely sinister happy ending .",1,rollicking ride jawdropping action sequence striking villain gorgeous color palette astounding technology stirring music boffo last hour lead strangely sinister happy ending
an hour and a half of joyful solo performance .,1,hour half joyful solo performance
contrived pastiche of caper clichés .,1,contrived pastiche caper clichs
"a triumph , a film that hews out a world and carries us effortlessly from darkness to light .",1,triumph film hews world carry u effortlessly darkness light
"steven soderbergh 's digital video experiment is a clever and cutting , quick and dirty look at modern living and movie life .",1,steven soderbergh digital video experiment clever cutting quick dirty look modern living movie life
kinnear 's performance is a career-defining revelation .,1,kinnear performance careerdefining revelation
"not only a reminder of how they used to make movies , but also how they sometimes still can be made .",1,reminder used make movie also sometimes still made
the dragons are the real stars of reign of fire and you wo n't be disappointed .,1,dragon real star reign fire wo nt disappointed
"if you 're over 25 , have an iq over 90 , and have a driver 's license , you should be able to find better entertainment .",1,iq driver license able find better entertainment
"for devotees of french cinema , safe conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .",1,devotee french cinema safe conduct rich period minutia like dying going celluloid heaven
"scherfig , who has had a successful career in tv , tackles more than she can handle .",1,scherfig successful career tv tackle handle
"this sade is hardly a perverse , dangerous libertine and agitator -- which would have made for better drama .",1,sade hardly perverse dangerous libertine agitator would made better drama
"by the end of the movie , you 're definitely convinced that these women are spectacular .",1,end movie definitely convinced woman spectacular
"... a plotline that 's as lumpy as two-day old porridge ... the filmmakers ' paws , sad to say , were all over this `` un-bear-able '' project !",1,plotline lumpy twoday old porridge filmmaker paw sad say unbearable project
the modern-day royals have nothing on these guys when it comes to scandals .,1,modernday royal nothing guy come scandal
essentially `` fatal attraction '' remade for viewers who were in diapers when the original was released in 1987 .,1,essentially fatal attraction remade viewer diaper original released
"it does n't really know or care about the characters , and uses them as markers for a series of preordained events .",1,nt really know care character us marker series preordained event
` opening up ' the play more has partly closed it down .,1,opening play partly closed
"even though it 's common knowledge that park and his founding partner , yong kang , lost kozmo in the end , you ca n't help but get caught up in the thrill of the company 's astonishing growth .",1,even though common knowledge park founding partner yong kang lost kozmo end ca nt help get caught thrill company astonishing growth
"lots of effort and intelligence are on display but in execution it is all awkward , static , and lifeless rumblings .",1,lot effort intelligence display execution awkward static lifeless rumbling
"every moment crackles with tension , and by the end of the flick , you 're on the edge of your seat .",1,every moment crackle tension end flick edge seat
the imax screen enhances the personal touch of manual animation .,1,imax screen enhances personal touch manual animation
coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings .,1,coal nt easy come used would worthy substitute naughty child stocking
as pedestrian as they come .,1,pedestrian come
"why , you may ask , why should you buy the movie milk when the tv cow is free ?",1,may ask buy movie milk tv cow free
"sunk by way too much indulgence of scene-chewing , teeth-gnashing actorliness .",1,sunk way much indulgence scenechewing teethgnashing actorliness
that 's fun for kids of any age .,1,fun kid age
raimi and his team could n't have done any better in bringing the story of spider-man to the big screen .,1,raimi team could nt done better bringing story spiderman big screen
"a colorful , joyous celebration of life ; a tapestry woven of romance , dancing , singing , and unforgettable characters .",1,colorful joyous celebration life tapestry woven romance dancing singing unforgettable character
a rip-roaring comedy action fest that 'll put hairs on your chest .,1,riproaring comedy action fest put hair chest
the premise of jason x is silly but strangely believable .,1,premise jason x silly strangely believable
the modern-day characters are nowhere near as vivid as the 19th-century ones .,1,modernday character nowhere near vivid thcentury one
chelsea walls is a case of too many chefs fussing over too weak a recipe .,1,chelsea wall case many chef fussing weak recipe
"the cast ... keeps this pretty watchable , and casting mick jagger as director of the escort service was inspired .",1,cast keep pretty watchable casting mick jagger director escort service inspired
"-lrb- the kid 's -rrb- just too bratty for sympathy , and as the film grows to its finale , his little changes ring hollow .",1,lrb kid rrb bratty sympathy film grows finale little change ring hollow
contradicts everything we 've come to expect from movies nowadays .,1,contradicts everything come expect movie nowadays
"there is little question that this is a serious work by an important director who has something new to say about how , in the flip-flop of courtship , we often reel in when we should be playing out .",1,little question serious work important director something new say flipflop courtship often reel playing
the script has less spice than a rat burger and the rock 's fighting skills are more in line with steven seagal .,1,script less spice rat burger rock fighting skill line steven seagal
the solid filmmaking and convincing characters makes this a high water mark for this genre .,1,solid filmmaking convincing character make high water mark genre
"the kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away .",1,kind movie come along occasionally one unconventional gutsy perfectly executed take breath away
"with an admirably dark first script by brent hanley , paxton , making his directorial feature debut , does strong , measured work .",1,admirably dark first script brent hanley paxton making directorial feature debut strong measured work
"funny , somber , absurd , and , finally , achingly sad , bartleby is a fine , understated piece of filmmaking .",1,funny somber absurd finally achingly sad bartleby fine understated piece filmmaking
"every now and again , a movie comes along to remind us of how very bad a motion picture can truly be .",0,every movie come along remind u bad motion picture truly
"unfortunately , there is almost nothing in this flat effort that will amuse or entertain them , either .",1,unfortunately almost nothing flat effort amuse entertain either
schrader examines crane 's decline with unblinking candor .,1,schrader examines crane decline unblinking candor
that the e-graveyard holds as many good ideas as bad is the cold comfort that chin 's film serves up with style and empathy .,0,egraveyard hold many good idea bad cold comfort chin film serf style empathy
"you would n't want to live waydowntown , but it is a hilarious place to visit .",1,would nt want live waydowntown hilarious place visit
"the bai brothers have taken an small slice of history and opened it up for all of us to understand , and they 've told a nice little story in the process .",1,bai brother taken small slice history opened u understand told nice little story process
there 's not one decent performance from the cast and not one clever line of dialogue .,1,one decent performance cast one clever line dialogue
translation : ` we do n't need to try very hard . ',1,translation nt need try hard
"return to never land is reliable , standard disney animated fare , with enough creative energy and wit to entertain all ages .",1,return never land reliable standard disney animated fare enough creative energy wit entertain age
"it sticks rigidly to the paradigm , rarely permitting its characters more than two obvious dimensions and repeatedly placing them in contrived , well-worn situations .",1,stick rigidly paradigm rarely permitting character two obvious dimension repeatedly placing contrived wellworn situation
caine makes us watch as his character awakens to the notion that to be human is eventually to have to choose .,1,caine make u watch character awakens notion human eventually choose
a captivating and intimate study about dying and loving ...,1,captivating intimate study dying loving
"oversexed , at times overwrought comedy\/drama that offers little insight into the experience of being forty , female and single .",1,oversexed time overwrought comedydrama offer little insight experience forty female single
the world needs more filmmakers with passionate enthusiasms like martin scorsese .,1,world need filmmaker passionate enthusiasm like martin scorsese
the director seems to take an unseemly pleasure in -lrb- the characters ' -rrb- misery and at the same time to congratulate himself for having the guts to confront it .,1,director seems take unseemly pleasure lrb character rrb misery time congratulate gut confront
the history is fascinating ; the action is dazzling .,1,history fascinating action dazzling
"the unexpected thing is that its dying , in this shower of black-and-white psychedelia , is quite beautiful .",1,unexpected thing dying shower blackandwhite psychedelia quite beautiful
i also believe that resident evil is not it .,1,also believe resident evil
offers a clear-eyed chronicle of a female friendship that is more complex and honest than anything represented in a hollywood film .,1,offer cleareyed chronicle female friendship complex honest anything represented hollywood film
"meeting , even exceeding expectations , it 's the best sequel since the empire strikes back ... a majestic achievement , an epic of astonishing grandeur and surprising emotional depth .",1,meeting even exceeding expectation best sequel since empire strike back majestic achievement epic astonishing grandeur surprising emotional depth
"while general audiences might not come away with a greater knowledge of the facts of cuban music , they 'll be treated to an impressive and highly entertaining celebration of its sounds .",1,general audience might come away greater knowledge fact cuban music treated impressive highly entertaining celebration sound
"not only better than its predecessor , it may rate as the most magical and most fun family fare of this or any recent holiday season .",1,better predecessor may rate magical fun family fare recent holiday season
... may work as an addictive guilty pleasure but the material never overcomes its questionable satirical ambivalence .,1,may work addictive guilty pleasure material never overcomes questionable satirical ambivalence
"death to smoochy tells a moldy-oldie , not-nearly - as-nasty - as-it - thinks-it-is joke .",1,death smoochy tell moldyoldie notnearly asnasty asit thinksitis joke
"spielberg 's picture is smarter and subtler than -lrb- total recall and blade runner -rrb- , although its plot may prove too convoluted for fun-seeking summer audiences .",1,spielberg picture smarter subtler lrb total recall blade runner rrb although plot may prove convoluted funseeking summer audience
"hart 's war seems to want to be a character study , but apparently ca n't quite decide which character .",1,hart war seems want character study apparently ca nt quite decide character
smaller numbered kidlets will enjoy .,1,smaller numbered kidlets enjoy
"offers no new insight on the matter , nor do its characters exactly spring to life .",1,offer new insight matter character exactly spring life
"i 'm convinced i could keep a family of five blind , crippled , amish people alive in this situation better than these british soldiers do at keeping themselves kicking .",1,convinced could keep family five blind crippled amish people alive situation better british soldier keeping kicking
"the connected stories of breitbart and hanussen are actually fascinating , but the filmmaking in invincible is such that the movie does not do them justice .",1,connected story breitbart hanussen actually fascinating filmmaking invincible movie justice
the characters are more deeply thought through than in most ` right-thinking ' films .,1,character deeply thought rightthinking film
"these characters are so well established that the gang feels comfortable with taking insane liberties and doing the goofiest stuff out of left field , and i 'm all for that .",1,character well established gang feel comfortable taking insane liberty goofiest stuff left field
"with a completely predictable plot , you 'll swear that you 've seen it all before , even if you 've never come within a mile of the longest yard .",1,completely predictable plot swear seen even never come within mile longest yard
"the jokes are sophomoric , stereotypes are sprinkled everywhere and the acting ranges from bad to bodacious .",0,joke sophomoric stereotype sprinkled everywhere acting range bad bodacious
cho 's latest comic set is n't as sharp or as fresh as i 'm the one that i want ... but it 's still damn funny stuff .,1,cho latest comic set nt sharp fresh one want still damn funny stuff
"much has been written about those years when the psychedelic '60s grooved over into the gay '70s , but words do n't really do the era justice .",1,much written year psychedelic grooved gay word nt really era justice
one of the best looking and stylish animated movies in quite a while ...,1,one best looking stylish animated movie quite
"light the candles , bring out the cake and do n't fret about the calories because there 's precious little substance in birthday girl -- it 's simply , and surprisingly , a nice , light treat .",1,light candle bring cake nt fret calorie precious little substance birthday girl simply surprisingly nice light treat
"it 's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .",1,good hardedged stuff violent bit exploitative also nicely done morally alert streetsmart
sayles ... once again strands his superb performers in the same old story .,1,sayles strand superb performer old story
"high crimes carries almost no organic intrigue as a government \/ marine\/legal mystery , and that 's because the movie serves up all of that stuff , nearly subliminally , as the old-hat province of male intrigue .",1,high crime carry almost organic intrigue government marinelegal mystery movie serf stuff nearly subliminally oldhat province male intrigue
nicole kidman makes it a party worth attending .,1,nicole kidman make party worth attending
"bogdanovich puts history in perspective and , via kirsten dunst 's remarkable performance , he showcases davies as a young woman of great charm , generosity and diplomacy .",1,bogdanovich put history perspective via kirsten dunst remarkable performance showcase davy young woman great charm generosity diplomacy
the gentle comic treatment of adolescent sturm und drang should please fans of chris fuhrman 's posthumously published cult novel .,1,gentle comic treatment adolescent sturm und drang please fan chris fuhrman posthumously published cult novel
"shatner is probably the funniest person in the film , which gives you an idea just how bad it was .",0,shatner probably funniest person film give idea bad
"this is a fragmented film , once a good idea that was followed by the bad idea to turn it into a movie .",0,fragmented film good idea followed bad idea turn movie
"there 's some outrageously creative action in the transporter ... -lrb- b -rrb- ut by the time frank parachutes down onto a moving truck , it 's just another cartoon with an unstoppable superman .",1,outrageously creative action transporter lrb b rrb ut time frank parachute onto moving truck another cartoon unstoppable superman
"for those of an indulgent , slightly sunbaked and summery mind , sex and lucia may well prove diverting enough .",1,indulgent slightly sunbaked summery mind sex lucia may well prove diverting enough
"it might be ` easier ' to watch on video at home , but that should n't stop die-hard french film connoisseurs from going out and enjoying the big-screen experience .",1,might easier watch video home nt stop diehard french film connoisseur going enjoying bigscreen experience
-lrb- reno -rrb- delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well-balanced fashion .,1,lrb reno rrb delivers monologue manages incorporate horror absurdity situation wellbalanced fashion
"rich in atmosphere of the post-war art world , it manages to instruct without reeking of research library dust .",1,rich atmosphere postwar art world manages instruct without reeking research library dust
more good than great but freeman and judd make it work .,1,good great freeman judd make work
